##########################################################################
# This file is used for mapping query parameters into valid search
# parameters. The point is that a parameter name itself does not contain
# enough information if order to find exact data from the data server.
# Usually we also information about the parameter level id and the level
# value.  
#
# For example, the parameter name "Temperature" does not tell us, which
# level type (Ground, Pressure, Altitude, Hybrid, etc.) or level value
# (2m, 300Pa, etc.) to use. In this file we can define this additional
# information for different parameters. Each CSV line in this file contain
# the following fields:  
#
# FIELDS
# --------------------
# 1. parameterSymbolicName
# 2. parameterKeyType
#      0   UNKNOWN
#      1   FMI_ID
#      2   FMI_NAME
#      3   GRIB_ID 
#      4   NEWBASE_ID 
#      5   NEWBASE_NAME 
#      6   CDM_ID       
#      7   CDM_NAME  
# 3. parameterKey
# 4. parmeterLevelIdType   
#      0   ANY
#      1   FMI
#      2   GRIB1
#      3   GRIB2 
#      100 IGNORE
# 5. parameterLevelId (FMI)
#      1   Ground or water surface",
#      2   Pressure level",
#      3   Hybrid level",
#      4   Altitude",
#      5   Top of atmosphere",
#      6   Height above ground in meters",
#      7   Mean sea level",
#      8   Entire atmosphere",
#      9   Depth below land surface",
#      10  Depth below some surface",
#      11  Level at specified pressure difference from ground to level",
#      12  Max equivalent potential temperature level",
#      13  Layer between two metric heights above ground",
#      14  Layer between two depths below land surface",
#      15  Isothermal level, temperature in 1/100 K"
# 6. parameterLevel
# 7. Interpolation method (0 = Unknown, 1 = linear, 2 = nearest)
#
# If a field is empty then query should be able to get this information
# in some other way.

#Temp;2;T-K;1;1;0;1;
#Temp;2;T-K;1;6;2;1;
#

##########################################################################
#
# ------------------------------------------------------------------
# Sample mappings
# ------------------------------------------------------------------
T;2;T-K;;;;1;
Temp;2;T-K;1;1;0;1;
Temp;2;T-K;1;6;2;1;
T300M;2;T-K;1;2;300;1;
#
# ------------------------------------------------------------------
# Newbase mappings
# ------------------------------------------------------------------
Pressure;5;Pressure;;;;1;
GeopHeight;5;GeopHeight;;;;1;
GeomHeight;5;GeomHeight;;;;1;
Temperature;5;Temperature;1;1;;1;
Temperature;5;Temperature;;;;1;
MaximumTemperature;5;MaximumTemperature;;;;1;
MinimumTemperature;5;MinimumTemperature;;;;1;
TemperatureAnomaly;5;TemperatureAnomaly;;;;1;
PotentialTemperature;5;PotentialTemperature;;;;1;
PseudoAdiabaticPotentialTemperature;5;PseudoAdiabaticPotentialTemperature;;;;1;
DewPoint;5;DewPoint;;;;1;
DewPointDeficit;5;DewPointDeficit;;;;1;
SpecificHumidity;5;SpecificHumidity;;;;1;
Humidity;5;Humidity;;;;1;
MixingRatio;5;MixingRatio;;;;1;
StabilityIndex;5;StabilityIndex;;;;1;
SaturationDeficit;5;SaturationDeficit;;;;1;
TopoGraf;5;TopoGraf;;;;1;
TotalWindMS;5;TotalWindMS;;;;1;
WindDirection;5;WindDirection;;;;1;
WindSpeedMS;5;WindSpeedMS;;;;1;
WindVectorMS;5;WindVectorMS;;;;1;
WindUMS;5;WindUMS;;;;1;
WindVMS;5;WindVMS;;;;1;
WindGustU;5;WindGustU;;;;1;
WindGustV;5;WindGustV;;;;1;
HeightMinus20C;5;HeightMinus20C;;;;1;
StreamFunction;5;StreamFunction;;;;1;
VorticityRelative;5;VorticityRelative;;;;1;
